FileName,observable_repeatInterval,observable_repeatdose,Time,parameter_lambdaPhys,parameter_numberPerNanomole,parameter_RepeatCount,parameter_RepeatTimeInterval,parameter_Tumor1VolumeCoeff,Vein_species_Hot,Vein_species_Cold,observable_Tumor1_TotalHot,observable_Tumor2_TotalHot,observable_TumorTotalHot,observable_KidneyTotalHot,observable_SGTotalHot,observable_LiverTotalHot,observable_ProstateTotalHot,observable_SpleenTotalHot,observable_RedMarrowTotalHot,observable_BoneTotalHot,observable_TIA_TumorTotal,observable_TIA_Kidney,observable_TIA_SG,observable_TIA_Liver,observable_TIA_Spleen,observable_TIA_RedMarrow,observable_HotStuffBlood,observable_BloodTIA
SimDataResults_326.csv,300.0,2.0,0.0,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,0.0,190455178781.818
SimDataResults_326.csv,300.0,2.0,0.0,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,0.0,190455178781.818
SimDataResults_326.csv,300.0,2.0,2.5298221281347e-07,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,2.52981917563821e-05,2.52981917571544e-05,1.09149747119411e-25,7.995304054477081e-24,1.09149747119411e-25,3.5083681503363604e-23,7.30866812028303e-26,1.20024424880121e-23,1.1446397546285402e-25,5.5395738907058104e-24,5.53957914286287e-24,9.23262968240891e-24,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,2.52981917563821e-05,190455178781.818
SimDataResults_326.csv,300.0,2.0,5.05964425626941e-07,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,5.05963493784564e-05,5.0596349380894e-05,5.968680335657811e-25,4.3721048694098e-23,5.968680335657811e-25,1.9184929947454001e-22,3.99663119355847e-25,6.56335188773375e-23,6.25927245684977e-25,3.02922942928869e-23,3.02923290855805e-23,5.04872004206686e-23,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,5.05963493784564e-05,190455178781.818
SimDataResults_326.csv,300.0,2.0,7.58946638440411e-07,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,7.58944721466616e-05,7.5894472151676e-05,1.90880226634296e-24,1.39821253846706e-22,1.90880226634296e-24,6.13539172285024e-22,1.27813565150622e-24,2.09898238611323e-22,2.001731882897e-24,9.68757365229248e-23,9.68758677767058e-23,1.61459724089858e-22,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,7.58944721466616e-05,190455178781.818
SimDataResults_326.csv,300.0,2.0,3.28876876657511e-06,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,0.0003288726929621,0.0003288726930715,1.57476612522501e-21,1.15352846141643e-19,1.57476612522501e-21,5.06146220368401e-19,1.0544889981065401e-21,1.73174104828897e-19,1.6513476317262301e-21,7.99243521934676e-20,7.99251102273403e-20,1.33208196275604e-19,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,0.0003288726929621,190455178781.818
SimDataResults_326.csv,300.0,2.0,5.81859089470982e-06,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,0.0005818474919378,0.0005818474922411,7.921283925105821e-21,5.80240221846557e-19,7.921283925105821e-21,2.54594947146412e-18,5.30425312712484e-21,8.710990956158141e-19,8.30638383828768e-21,4.0203239226667e-19,4.0203708020798904e-19,6.700598165687982e-19,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,0.0005818474919378,190455178781.818
SimDataResults_326.csv,300.0,2.0,8.34841302284452e-06,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,0.0008348188043294,0.0008348188049179,2.40359841482964e-20,1.76065457397697e-18,2.40359841482964e-20,7.7252119237817e-18,1.6095083324857302e-20,2.6432543944826697e-18,2.52041656799533e-20,1.21991555438737e-18,1.21993242153268e-18,2.03321356485494e-18,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,0.0008348188043294,190455178781.818
SimDataResults_326.csv,300.0,2.0,3.36466343041916e-05,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,0.0033642312828712,0.003364231294174,1.63003332837815e-17,1.1940121185124502e-15,1.63003332837815e-17,5.2363853284917705e-15,1.0917602798060301e-17,1.7933421693617e-15,1.70837364889531e-17,8.27473005709541e-16,8.27551469062186e-16,1.37921922454316e-15,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,0.0033642312828712,190455178781.818
SimDataResults_326.csv,300.0,2.0,5.89448555855386e-05,7.15e-05,602200000000000.0,2.0,300.0,0.464158883361278,0.0058933016629542,0.0058933016939187,8.13079620540959e-17,5.95587159685476e-15,8.13079620540959e-17,2.61162266976766e-14,5.44616530395442e-17,8.946456909559911e-15,8.52037834792267e-17,4.127761955117941e-15,4.1282438616542e-15,6.880202354094431e-15,34917682699.5728,382929156035.487,57374354958.666,1095672891827.93,23505402498.3652,151481525785.996,0.0058933016629542,190455178781.818
